year,constructorName,n
2001,Ferrari,9
2001,McLaren,4
2001,Williams,4
2002,Ferrari,15
2002,McLaren,1
2002,Williams,1
2003,Ferrari,8
2003,Jordan,1
2003,McLaren,2
2003,Renault,1
2003,Williams,4
2004,Ferrari,15
2004,McLaren,1
2004,Renault,1
2004,Williams,1
2005,Ferrari,1
2005,McLaren,10
2005,Renault,8
2006,Ferrari,9
2006,Honda,1
2006,Renault,8
2007,Ferrari,9
2007,McLaren,8
2008,BMW Sauber,1
2008,Ferrari,8
2008,McLaren,6
2008,Renault,2
2008,Toro Rosso,1
2009,Brawn,8
2009,Ferrari,1
2009,McLaren,2
2009,Red Bull,6
2010,Ferrari,5
2010,McLaren,5
2010,Red Bull,9
2011,Ferrari,1
2011,McLaren,6
2011,Red Bull,12
2012,Ferrari,3
2012,Lotus F1,1
2012,McLaren,7
2012,Mercedes,1
2012,Red Bull,7
2012,Williams,1
2013,Ferrari,2
2013,Lotus F1,1
2013,Mercedes,3
2013,Red Bull,13
2014,Mercedes,16
2014,Red Bull,3
2015,Ferrari,3
2015,Mercedes,16
2016,Mercedes,19
2016,Red Bull,2
2017,Ferrari,5
2017,Mercedes,12
2017,Red Bull,3
2018,Ferrari,6
2018,Mercedes,11
2018,Red Bull,4
2019,Ferrari,3
2019,Mercedes,15
2019,Red Bull,3
2020,AlphaTauri,1
2020,Mercedes,13
2020,Racing Point,1
2020,Red Bull,2
2021,Alpine F1 Team,1
2021,McLaren,1
2021,Mercedes,9
2021,Red Bull,11
2022,Ferrari,4
2022,Mercedes,1
2022,Red Bull,17
2023,Ferrari,1
2023,Red Bull,21
2024,Ferrari,5
2024,McLaren,6
2024,Mercedes,4
2024,Red Bull,9
