"RowIndex","Prediction"
1,"1"
2,"1"
3,"1"
4,"1"
5,"1"
6,"1"
7,"0"
8,"-1"
9,"1"
10,"0"
11,"-1"
12,"1"
13,"0"
14,"1"
15,"0"
16,"0"
17,"0"
18,"1"
19,"0"
20,"2"
21,"-1"
22,"2"
23,"1"
24,"1"
25,"0"
26,"1"
27,"0"
28,"-1"
29,"0"
30,"1"
31,"0"
32,"0"
33,"1"
34,"0"
35,"0"
36,"0"
37,"0"
38,"1"
39,"1"
40,"1"
41,"0"
42,"1"
43,"0"
44,"1"
45,"0"
46,"0"
47,"-1"
48,"0"
49,"0"
50,"1"
51,"0"
52,"0"
53,"0"
54,"0"
55,"0"
56,"0"
57,"0"
58,"0"
59,"0"
60,"1"
61,"0"
62,"-1"
63,"-1"
64,"0"
65,"1"
66,"1"
67,"0"
68,"0"
69,"1"
70,"-2"
71,"0"
72,"0"
73,"-1"
74,"2"
75,"0"
76,"0"
77,"1"
78,"1"
79,"1"
80,"1"
81,"0"
82,"1"
83,"0"
84,"0"
85,"0"
86,"1"
87,"1"
88,"1"
89,"0"
90,"0"
91,"0"
92,"0"
93,"-2"
94,"1"
95,"1"
