lga_standard,investment_tier,investment_tier_order,project_count,hh_count,car_pct,pt_pct,active_pct,n_work_trips,car_median,pt_median,penalty_min,pt_ratio
Banyule,Low (1-2),1,2,44,83.9,3.2,12.9,62,15.0,25.0,10.0,1.67
Bayside,Medium (3-5),2,3,55,97.4,2.6,0.0,38,10.0,35,25.0,3.5
Boroondara,Low (1-2),1,1,83,51.8,26.5,21.7,83,13,40,27,3.08
Brimbank,High (6+),3,6,57,81.4,11.9,6.8,59,10.0,64.0,54.0,6.4
Cardinia,Medium (3-5),2,3,51,92.7,5.5,1.8,55,12.0,51,39.0,4.25
Casey,High (6+),3,15,144,95.6,3.5,0.9,229,13,60.0,47.0,4.62
Darebin,Medium (3-5),2,3,81,64.5,19.4,16.1,93,10.0,46.5,36.5,4.65
Frankston,High (6+),3,7,59,90.0,8.8,1.2,80,10.0,38,28.0,3.8
Glen Eira,Medium (3-5),2,3,90,59.3,25.9,14.8,54,10.0,40,30.0,4.0
Golden Plains,Low (1-2),1,1,7,100.0,0.0,0.0,5,,,,
Greater Dandenong,Medium (3-5),2,4,52,76.8,10.7,12.5,56,10,53.0,43.0,5.3
Greater Geelong,High (6+),3,8,263,88.2,4.0,7.7,272,9.0,51.0,42.0,5.67
Hobsons Bay,Low (1-2),1,1,49,74.4,15.4,10.3,39,9.0,49.0,40.0,5.44
Hume,High (6+),3,10,81,84.1,6.5,9.3,107,15,61,46,4.07
Kingston,Medium (3-5),2,3,82,80.3,15.9,3.8,132,10,52.5,42.5,5.25
Knox,High (6+),3,6,77,91.7,6.0,2.4,84,10,65,55,6.5
Macedon Ranges,Low (1-2),1,1,7,100.0,0.0,0.0,25,,,,
Maribyrnong,Low (1-2),1,2,31,65.0,27.5,7.5,40,10,37.0,27.0,3.7
Maroondah,Low (1-2),1,2,60,70.3,20.3,9.4,64,10.0,61,51.0,6.1
Melbourne,Low (1-2),1,2,43,36.4,33.3,30.3,33,15.0,33,18.0,2.2
Melton,High (6+),3,8,65,89.6,9.1,1.3,77,12.0,60.0,48.0,5.0
Merri-bek,Medium (3-5),2,4,62,51.6,23.1,25.3,91,11.5,48.0,36.5,4.17
Mitchell,Medium (3-5),2,3,19,84.8,12.1,3.0,33,10,59.0,49.0,5.9
Monash,Medium (3-5),2,5,100,82.2,12.3,5.5,73,15.0,47,32.0,3.13
Moonee Valley,Medium (3-5),2,3,56,75.3,22.2,2.5,81,11.0,36,25.0,3.27
Moorabool,Low (1-2),1,1,16,100.0,0.0,0.0,13,,,,
Mornington Peninsula,Medium (3-5),2,5,76,93.4,2.2,4.4,91,12,35.0,23.0,2.92
Nillumbik,Medium (3-5),2,3,38,96.1,3.9,0.0,51,,,,
Port Phillip,Low (1-2),1,2,58,31.0,42.9,26.2,42,10.0,30,20.0,3.0
Whitehorse,Medium (3-5),2,4,82,88.8,5.6,5.6,89,12.0,45,33.0,3.75
Whittlesea,Medium (3-5),2,5,103,85.1,9.7,5.2,134,15,75.0,60.0,5.0
Wyndham,High (6+),3,6,118,84.3,13.0,2.6,115,10,57,47,5.7
Yarra,Medium (3-5),2,4,45,50.0,15.0,35.0,40,13.0,36,23.0,2.77
