lga_standard,investment_tier,investment_tier_order,project_count,hh_count
Golden Plains,Low (1-2),1,1,7
Macedon Ranges,Low (1-2),1,1,7
Moorabool,Low (1-2),1,1,16
Mitchell,Medium (3-5),2,3,19
Maribyrnong,Low (1-2),1,2,31
Nillumbik,Medium (3-5),2,3,38
Melbourne,Low (1-2),1,2,43
Banyule,Low (1-2),1,2,44
Yarra,Medium (3-5),2,4,45
Hobsons Bay,Low (1-2),1,1,49
Cardinia,Medium (3-5),2,3,51
Greater Dandenong,Medium (3-5),2,4,52
Bayside,Medium (3-5),2,3,55
Moonee Valley,Medium (3-5),2,3,56
Brimbank,High (6+),3,6,57
Port Phillip,Low (1-2),1,2,58
Frankston,High (6+),3,7,59
Maroondah,Low (1-2),1,2,60
Merri-bek,Medium (3-5),2,4,62
Melton,High (6+),3,8,65
Mornington Peninsula,Medium (3-5),2,5,76
Knox,High (6+),3,6,77
Darebin,Medium (3-5),2,3,81
Hume,High (6+),3,10,81
Kingston,Medium (3-5),2,3,82
Whitehorse,Medium (3-5),2,4,82
Boroondara,Low (1-2),1,1,83
Glen Eira,Medium (3-5),2,3,90
Monash,Medium (3-5),2,5,100
Whittlesea,Medium (3-5),2,5,103
Wyndham,High (6+),3,6,118
Casey,High (6+),3,15,144
Greater Geelong,High (6+),3,8,263
