hhid,lga_standard,lga_for_seifa,homesubregion_ASGS,homeregion_ASGS,hhinc_group,totalvehs,totalbikes_clean,hhsize,dayType,travmonth,travdow,LGA_Name,IRSD_Score,IRSD_Decile,IRSAD_Score,IRSAD_Decile,IEO_Score,IEO_Decile,Population,hhinc_sort
Y25H6260101,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$1,500-$1,749 ($78,000-$90,999)",1,0.0,1,Weekday,July,Monday,Greater Dandenong,887,2,918,3,943,6,158208,1500
Y25H6260102,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",2,0.0,4,Weekday,July,Tuesday,Greater Dandenong,887,2,918,3,943,6,158208,2000
Y25H6260103,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$8,000 or more ($416,000 or more)",2,2.0,4,Weekday,July,Wednesday,Greater Dandenong,887,2,918,3,943,6,158208,0
Y25H6260106,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",1,1.0,2,Weekend,July,Saturday,Greater Dandenong,887,2,918,3,943,6,158208,2000
Y25H6260117,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$4,500-$4,999 ($234,000-$259,999)",2,4.0,5,Weekday,July,Wednesday,Greater Dandenong,887,2,918,3,943,6,158208,4500
Y25H6260122,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$1,750-$1,999 ($91,000-$103,999)",1,,2,Weekday,July,Monday,Greater Dandenong,887,2,918,3,943,6,158208,1750
Y25H6260123,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$2,000-$2,499 ($104,000-$129,999)",1,,2,Weekday,July,Tuesday,Greater Dandenong,887,2,918,3,943,6,158208,2000
Y25H6260132,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,Not Stated,0,0.0,1,Weekday,July,Thursday,Greater Dandenong,887,2,918,3,943,6,158208,-1
Y25H6260133,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$800-$999 ($41,600-$51,999)",2,0.0,4,Weekday,July,Friday,Greater Dandenong,887,2,918,3,943,6,158208,800
Y25H6260134,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$800-$999 ($41,600-$51,999)",0,0.0,1,Weekend,July,Saturday,Greater Dandenong,887,2,918,3,943,6,158208,800
Y25H6260137,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",1,0.0,2,Weekday,July,Tuesday,Greater Dandenong,887,2,918,3,943,6,158208,2500
Y25H6260139,Greater Dandenong,Greater Dandenong,MELB - Middle,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",1,,2,Weekday,July,Thursday,Greater Dandenong,887,2,918,3,943,6,158208,2500
Y25H6260201,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$4,000-$4,499 ($208,000-$233,999)",3,0.0,2,Weekday,July,Monday,Yarra Ranges,1041,9,1014,9,1001,8,156068,4000
Y25H6260204,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$1,000-$1,249 ($52,000-$64,999)",3,0.0,2,Weekday,July,Thursday,Yarra Ranges,1041,9,1014,9,1001,8,156068,1000
Y25H6260205,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$800-$999 ($41,600-$51,999)",1,1.0,2,Weekday,July,Friday,Yarra Ranges,1041,9,1014,9,1001,8,156068,800
Y25H6260209,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",2,1.0,2,Weekday,July,Tuesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3500
Y25H6260210,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$300-$399 ($15,600-$20,799)",1,0.0,2,Weekday,July,Wednesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,300
Y25H6260211,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$400-$499 ($20,800-$25,999)",1,0.0,1,Weekday,July,Thursday,Yarra Ranges,1041,9,1014,9,1001,8,156068,400
Y25H6260215,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",2,3.0,4,Weekday,July,Monday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3000
Y25H6260216,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$800-$999 ($41,600-$51,999)",2,,2,Weekday,July,Tuesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,800
Y25H6260217,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$650-$799 ($33,800-$41,599)",2,0.0,2,Weekday,July,Wednesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,650
Y25H6260219,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$2,500-$2,999 ($130,000-$155,999)",2,6.0,6,Weekday,July,Friday,Yarra Ranges,1041,9,1014,9,1001,8,156068,2500
Y25H6260220,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",2,2.0,2,Weekend,July,Saturday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3000
Y25H6260221,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,000-$3,499 ($156,000-$181,999)",2,0.0,2,Weekend,July,Sunday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3000
Y25H6260223,Yarra Ranges,Yarra Ranges,MELB - Outer,Greater Melbourne,"$3,500-$3,999 ($182,000-$207,999)",5,1.0,4,Weekday,July,Tuesday,Yarra Ranges,1041,9,1014,9,1001,8,156068,3500
