order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDK10594,2018-04-25,11:43:05,Breakfast,BK,"[('Eggs', 7), ('Pancake', 2)]",202.5,-37.8187329,144.953416,0,8.792,14.3817916
ORDA07764,2018-11-20,18:38:52,Dinner,BK,"[('Pasta', 9), ('Fish&Chips', 1), ('Shrimp', 4)]",498.5,-37.8263746,145.0182076,0,5.203,12.0068745
ORDB01401,2018-05-28,12:54:05,Lunch,TP,"[('Chicken', 6), ('Fries', 4), ('Steak', 3), ('Salad', 2), ('Burger', 8)]",657.4,-37.8223726,144.9835773,0,8.873,12.1432808
ORDC01929,2018-09-14,16:27:02,Dinner,NS,"[('Salmon', 2), ('Pasta', 2)]",137.0,-37.7991186,144.9954484,0,8.642,15.1413991
ORDX08836,2018-11-17,18:38:52,Dinner,BK,"[('Salmon', 7), ('Shrimp', 7), ('Pasta', 5)]",802.5,-37.803969,145.010975,0,4.141,13.4482879
ORDY09035,2018-10-04,17:07:36,Dinner,TP,"[('Shrimp', 5), ('Fish&Chips', 1), ('Salmon', 4)]",469.0,-37.820727,144.9670761,0,7.582,12.5207899
ORDJ09192,2018-05-28,12:54:05,Lunch,TP,"[('Fries', 5), ('Steak', 10), ('Salad', 3)]",561.6,-37.8085205,144.9491955,0,9.639,12.9106943
ORDY06098,2018-02-26,09:51:32,Breakfast,TP,"[('Cereal', 5), ('Coffee', 10), ('Eggs', 3), ('Pancake', 3)]",318.75,-37.8096215,144.9636214,0,8.654,11.408183114185483
ORDY02526,2018-09-12,16:27:02,Dinner,TP,"[('Salmon', 7), ('Pasta', 3), ('Fish&Chips', 6), ('Shrimp', 7)]",957.5,-37.8179366,144.966773,0,7.664,11.7745491
ORDA05023,2018-11-25,18:49:00,Dinner,BK,"[('Shrimp', 3), ('Salmon', 10), ('Pasta', 8), ('Fish&Chips', 6)]",1002.0,-37.8015364,144.977393,0,6.915,16.022388
ORDZ10330,2018-06-13,13:24:30,Lunch,NS,"[('Fries', 5), ('Salad', 1), ('Steak', 9), ('Burger', 4)]",606.2,-37.8050751,144.9715944,0,6.93,12.321103287547949
ORDC02532,2018-02-19,09:31:16,Breakfast,NS,"[('Cereal', 5), ('Coffee', 5), ('Pancake', 9)]",360.75,-37.8084171,144.9627922,0,7.562,12.2048246
ORDI10782,2018-09-27,16:57:27,Dinner,NS,"[('Salmon', 3), ('Pasta', 1), ('Fish&Chips', 10), ('Shrimp', 9)]",986.5,-37.8076777,144.9732605,0,7.061,12.957111
