order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDC04106,2018-02-11,09:21:07,Breakfast,NS,"[('Coffee', 1), ('Cereal', 2), ('Pancake', 7)]",219.25,-37.8140677,144.9713268,0,7.664,14.525496
ORDC05154,2018-03-04,10:01:41,Breakfast,NS,"[('Pancake', 8), ('Coffee', 8), ('Eggs', 6), ('Cereal', 4)]",470.0,-37.8148083,144.9814605,0,8.365,
ORDX08424,2018-03-05,10:01:41,Breakfast,,"[('Pancake', 3), ('Cereal', 3), ('Coffee', 6)]",180.75,-37.8045032,144.9166122,0,,16.9282047
ORDY09217,2018-09-21,16:47:19,Dinner,TP,"[('Fish&Chips', 1), ('Shrimp', 7)]",413.0,-37.809067,144.9287565,0,11.193,15.1908861
ORDI01624,2018-09-08,16:16:54,Dinner,,"[('Shrimp', 1), ('Fish&Chips', 8), ('Salmon', 9)]",703.0,-37.8210489,144.9771212,0,,16.784431
ORDK10149,2018-08-25,15:46:28,Lunch,BK,"[('Burger', 6), ('Chicken', 3), ('Fries', 9), ('Steak', 3)]",525.0,-37.8053799,144.9372176,0,9.838,18.3251401
ORDY07198,2018-05-28,12:54:05,Lunch,TP,"[('Steak', 6), ('Salad', 5), ('Chicken', 6), ('Burger', 7)]",765.0,-37.8093498,144.9544911,0,9.037,12.426685
ORDK10872,2018-04-26,11:43:05,Breakfast,,"[('Eggs', 10), ('Pancake', 10), ('Coffee', 8)]",522.5,-37.8171331,144.9606427,0,8.087,13.3775118
ORDB09000,2018-05-22,12:33:48,Lunch,TP,"[('Burger', 4), ('Steak', 6), ('Chicken', 8), ('Salad', 5)]",736.0,-37.8181546,144.9954403,0,10.179,13.0758757
ORDJ00472,2018-05-17,12:23:39,Lunch,,"[('Chicken', 8), ('Salad', 3), ('Steak', 10), ('Burger', 9), ('Fries', 10)]",1156.6,-37.8208183,144.9619892,0,7.762,11.2932467
ORDJ02902,2018-03-30,10:52:23,Breakfast,TP,"[('Coffee', 1), ('Pancake', 3), ('Cereal', 6), ('Eggs', 7)]",360.25,-37.8103516,144.9613605,0,8.488,11.734106
ORDK05053,2018-11-04,18:08:27,Dinner,BK,"[('Pasta', 8), ('Fish&Chips', 1), ('Salmon', 1)]",296.0,-37.8187846,144.9524658,0,8.889,18.4600582
ORDI01640,2018-09-29,16:57:27,Dinner,NS,"[('Salmon', 5), ('Fish&Chips', 5)]",380.0,-37.8169606,144.9987394,0,9.973,17.8024477
ORDA04797,2018-12-06,19:19:26,Dinner,BK,"[('Shrimp', 5), ('Salmon', 7), ('Fish&Chips', 7)]",802.0,-37.8106519,145.0159987,0,4.301,10.8941745
ORDA09705,2018-10-15,17:27:53,Dinner,,"[('Shrimp', 7), ('Salmon', 8), ('Fish&Chips', 3)]",811.0,-37.8129849,144.9918837,0,5.14,11.3915126
ORDB03183,2018-04-10,11:12:40,Breakfast,TP,"[('Coffee', 9), ('Eggs', 4), ('Pancake', 9)]",373.75,-37.8206094,144.9668683,0,7.534,10.059239
ORDZ08690,2018-01-11,08:20:16,Breakfast,NS,"[('Cereal', 5), ('Eggs', 1), ('Pancake', 2)]",175.5,-37.807172,144.9570636,1,8.134,6.144917
ORDJ00836,2018-12-22,19:49:51,Dinner,,"[('Pasta', 4), ('Fish&Chips', 1), ('Salmon', 2), ('Shrimp', 5)]",497.0,-37.811807,144.9734053,0,8.8,14.2378625
ORDK01895,2018-02-15,09:31:16,Breakfast,BK,"[('Cereal', 7), ('Pancake', 1)]",171.25,-37.8055089,144.9431064,0,9.298,13.7993633
ORDZ01752,2018-10-20,17:38:01,Dinner,NS,"[('Fish&Chips', 1), ('Pasta', 8), ('Shrimp', 7), ('Salmon', 5)]",838.0,-37.8189152,144.9649663,0,8.658,16.5496382
ORDJ00470,2018-09-10,16:16:54,Dinner,TP,"[('Fish&Chips', 7), ('Salmon', 8), ('Shrimp', 7)]",951.0,-37.8101377,144.9965834,0,10.736,14.3889291
ORDI08823,2018-08-24,15:46:28,Lunch,NS,"[('Salad', 10), ('Chicken', 1), ('Burger', 1), ('Fries', 1), ('Steak', 6)]",517.0,-37.8210479,144.9655492,0,8.881,14.2205089
ORDA02108,2018-01-25,08:40:33,Breakfast,BK,"[('Cereal', 10), ('Eggs', 1), ('Coffee', 5)]",269.5,-37.8103629,145.0090938,0,3.824,8.11131
ORDK08853,2018-02-21,09:41:24,Breakfast,BK,"[('Pancake', 5), ('Coffee', 2), ('Cereal', 9)]",325.25,-37.8138284,145.0000453,0,4.411,8.807102
ORDI01186,2018-09-01,15:56:37,Lunch,NS,"[('Chicken', 3), ('Salad', 4), ('Burger', 8)]",412.8,-37.8172377,144.9532366,0,8.982,16.289555
ORDZ07043,2018-11-02,18:08:27,Dinner,NS,"[('Salmon', 8), ('Pasta', 6)]",493.0,-37.8018147,144.9572168,0,7.467,13.7338411
ORDK01171,2018-08-29,15:56:37,Lunch,BK,"[('Chicken', 1), ('Salad', 10), ('Steak', 3), ('Burger', 10), ('Fries', 4)]",697.0,-37.8188941,144.9785274,0,7.328,13.1004165
ORDX09596,2018-07-17,14:35:29,Lunch,,"[('Fries', 3), ('Chicken', 6), ('Salad', 6), ('Burger', 3), ('Steak', 1)]",469.2,-37.8054782,144.9975185,0,4.801,10.5526636
ORDK00383,2018-07-05,14:05:04,Lunch,BK,"[('Burger', 5), ('Steak', 6)]",425.0,-37.8207512,144.9485816,0,9.223,14.8777279
ORDY03264,2018-07-13,14:25:21,Lunch,,"[('Steak', 3), ('Burger', 6), ('Fries', 7)]",405.0,-37.8184891,144.9981526,0,10.422,13.4019454
ORDX10942,2018-05-27,12:43:56,Lunch,,"[('Salad', 8), ('Steak', 8), ('Fries', 6)]",569.6,-37.8251949,144.9926087,0,6.827,15.4458093
ORDK06842,2018-03-24,10:42:15,Breakfast,BK,"[('Eggs', 6), ('Pancake', 1), ('Coffee', 8), ('Cereal', 2)]",258.25,-37.8196865,144.9852639,0,6.243,13.2265901
ORDY03618,2018-05-14,12:23:39,Lunch,TP,"[('Steak', 2), ('Chicken', 7)]",314.0,-37.8052677,144.9370948,0,10.703,13.697795
ORDZ02771,2018-08-30,15:56:37,Lunch,,"[('Salad', 9), ('Fries', 9), ('Chicken', 3)]",358.8,-37.8089247,144.9616839,0,7.818,13.2751336
ORDC10028,2018-07-13,14:25:21,Lunch,,"[('Steak', 9), ('Burger', 5), ('Fries', 10), ('Chicken', 3)]",776.0,-37.8165198,145.0049966,0,10.39,15.8707123
ORDB01010,2018-05-11,12:13:31,Lunch,TP,"[('Salad', 2), ('Steak', 2), ('Chicken', 5), ('Fries', 1), ('Burger', 10)]",606.4,-37.8246959,144.954671,0,8.765,12.0642042
ORDB08076,2018-01-04,08:00:00,Breakfast,TP,"[('Cereal', 5), ('Coffee', 10), ('Eggs', 8)]",356.0,-37.812841,144.939496,1,10.495,6.4624271
ORDJ10331,2018-06-02,13:04:13,Lunch,,"[('Steak', 10), ('Chicken', 5), ('Burger', 10), ('Salad', 7)]",1040.4,-37.8181408,144.9651122,0,,12.4237297
ORDK02241,2018-12-10,19:19:26,Dinner,BK,"[('Pasta', 7), ('Shrimp', 9)]",678.5,-37.8183289,144.9605293,0,8.084,
ORDJ03649,2018-07-08,14:15:12,Lunch,TP,"[('Chicken', 5), ('Burger', 7)]",377.0,-37.8029991,144.9495479,0,9.947,14.160795
ORDI05770,2018-11-21,18:38:52,Dinner,NS,"[('Pasta', 7), ('Shrimp', 9), ('Salmon', 9)]",1047.5,-37.80771,144.9815607,0,7.693,14.0705811
ORDK10438,2018-10-29,17:58:18,Dinner,BK,"[('Salmon', 10), ('Fish&Chips', 9), ('Shrimp', 4), ('Pasta', 8)]",1161.0,-37.8174195,144.9619198,0,7.988,
ORDY01181,2018-11-29,18:59:09,Dinner,TP,"[('Shrimp', 3), ('Salmon', 9), ('Pasta', 5), ('Fish&Chips', 4)]",808.5,-37.8088956,144.9577571,0,8.944,12.5836283
ORDX01715,2018-03-21,10:32:06,Breakfast,BK,"[('Cereal', 6), ('Pancake', 8), ('Eggs', 6), ('Coffee', 8)]",512.0,-37.8138969,144.9603552,0,7.93,
ORDZ07573,2018-07-29,14:55:46,Lunch,NS,"[('Salad', 10), ('Chicken', 2), ('Fries', 9), ('Steak', 3), ('Burger', 8)]",727.0,-37.8173887,144.9674374,0,8.309,15.6451371
ORDC07178,2018-08-23,15:46:28,Lunch,,"[('Steak', 10), ('Salad', 4), ('Fries', 3), ('Chicken', 7), ('Burger', 5)]",933.8,-37.8231189,144.9885019,0,9.443,14.6733289
ORDC00641,2018-05-21,12:33:48,Lunch,,"[('Fries', 8), ('Steak', 1), ('Salad', 2)]",175.4,-37.8072698,144.9453335,0,,14.7055977
ORDY10732,2018-07-21,14:35:29,Lunch,TP,"[('Steak', 5), ('Chicken', 6)]",417.0,-37.8241444,144.9825146,0,8.721,14.0447475
ORDY03065,2018-02-04,09:00:50,Breakfast,TP,"[('Eggs', 8), ('Pancake', 10), ('Coffee', 7), ('Cereal', 7)]",618.0,-37.8186913,144.9427556,0,9.571,13.9087539
ORDA02798,2018-12-13,19:29:34,Dinner,BK,"[('Salmon', 6), ('Shrimp', 7)]",624.0,-37.8002282,145.0103085,0,4.604,10.7701347
ORDA05597,2018-07-27,14:45:38,Lunch,BK,"[('Chicken', 7), ('Burger', 9)]",503.0,-37.800822,144.9689705,0,7.665,13.3768367
ORDI09121,2018-07-22,14:35:29,Lunch,NS,"[('Chicken', 5), ('Fries', 7), ('Salad', 3), ('Burger', 4), ('Steak', 5)]",644.6,-37.8137032,144.9534586,0,8.509,15.8359034
ORDI01571,2018-05-30,12:54:05,Lunch,NS,"[('Salad', 10), ('Fries', 10), ('Steak', 3), ('Chicken', 1), ('Burger', 9)]",738.0,-37.8173821,144.9526629,0,9.04,14.704861
ORDC06929,2018-06-12,13:24:30,Lunch,NS,"[('Fries', 6), ('Burger', 8)]",320.0,-37.8063138,144.9473567,0,8.726,14.7576077
ORDI04343,2018-06-15,13:24:30,Lunch,NS,"[('Salad', 3), ('Steak', 9)]",456.6,-37.8031422,144.9423665,0,8.968,14.4736196
ORDB05292,2018-01-24,08:40:33,Breakfast,TP,"[('Pancake', 10), ('Cereal', 9)]",431.5,-37.8123148,144.9626425,0,8.256,11.3462425
ORDA03035,2018-12-26,20:00:00,Dinner,BK,"[('Shrimp', 9), ('Pasta', 1), ('Fish&Chips', 5)]",688.5,-37.8156687,144.9582129,0,8.195,
ORDJ01976,2018-06-21,13:34:38,Lunch,TP,"[('Salad', 3), ('Fries', 5), ('Burger', 3), ('Chicken', 8)]",460.6,-37.799822,144.9620769,0,9.8,
ORDC09789,2018-02-05,09:10:59,Breakfast,NS,"[('Coffee', 5), ('Eggs', 3), ('Pancake', 8)]",297.5,-37.8137832,144.9608233,0,8.144,
ORDK06016,2018-04-18,11:32:57,Breakfast,BK,"[('Pancake', 5), ('Cereal', 9)]",310.25,-37.8108302,144.9758363,0,6.504,11.3310002
ORDX06399,2018-04-24,11:43:05,Breakfast,BK,"[('Coffee', 8), ('Pancake', 8)]",254.0,-37.8125487,144.9569572,0,8.163,12.8549377
ORDZ06492,2018-01-26,08:50:42,Breakfast,NS,"[('Coffee', 7), ('Eggs', 8)]",228.5,-37.8117547,144.9361055,0,10.02,14.92712
ORDK02948,2018-06-01,12:54:05,Lunch,BK,"[('Fries', 8), ('Chicken', 3)]",192.0,-37.816191,144.9722489,0,6.981,12.3412735
ORDC03720,2018-09-04,16:06:45,Dinner,NS,"[('Shrimp', 7), ('Pasta', 2), ('Salmon', 8), ('Fish&Chips', 7)]",1006.0,-37.8002551,144.9509615,0,7.994,13.821956
ORDZ01901,2018-03-13,10:21:58,Breakfast,NS,"[('Eggs', 1), ('Pancake', 6)]",167.5,-37.8223778,144.9752217,0,9.164,14.0704819
ORDZ06169,2018-06-07,13:14:21,Lunch,NS,"[('Chicken', 2), ('Salad', 2)]",98.4,-37.8155841,144.9452766,0,9.223,14.3746314
ORDY07096,2018-09-24,16:47:19,Dinner,TP,"[('Pasta', 5), ('Salmon', 8), ('Fish&Chips', 1)]",500.5,-37.805541,144.9979373,0,11.295,15.4501541
ORDA01981,2018-11-02,18:08:27,Dinner,,"[('Shrimp', 3), ('Fish&Chips', 6), ('Salmon', 9), ('Pasta', 2)]",796.0,-37.8016961,144.9798825,0,6.7,13.6377268
ORDI03522,2018-06-09,13:14:21,Lunch,,"[('Steak', 4), ('Fries', 6)]",252.0,-37.8043808,145.0133855,0,,17.9047694
ORDZ05756,2018-01-25,08:40:33,Breakfast,NS,"[('Pancake', 1), ('Cereal', 3), ('Eggs', 3)]",153.25,-37.812301,144.9623539,0,7.847,13.1280623
ORDB00678,2018-07-05,14:05:04,Lunch,,"[('Steak', 9), ('Salad', 1), ('Burger', 1), ('Chicken', 4), ('Fries', 2)]",605.2,-37.8122487,145.0003405,0,,14.1732811
ORDZ09805,2018-11-28,18:59:09,Dinner,NS,"[('Fish&Chips', 5), ('Salmon', 5)]",380.0,-37.8111501,144.9622637,0,7.687,13.3494274
ORDJ02117,2018-07-07,14:05:04,Lunch,TP,"[('Fries', 4), ('Burger', 8)]",296.0,-37.8097411,144.9676108,0,8.86,
ORDX09512,2018-02-11,09:21:07,Breakfast,BK,"[('Pancake', 6), ('Coffee', 9)]",213.0,-37.8157049,144.9696048,0,7.21,14.6761693
ORDY05579,2018-01-19,08:30:25,Breakfast,,"[('Cereal', 4), ('Pancake', 4), ('Coffee', 4)]",211.0,-37.8089016,144.9602386,0,,10.462821
ORDX00630,2018-03-19,10:32:06,Breakfast,BK,"[('Eggs', 3), ('Pancake', 4), ('Coffee', 8), ('Cereal', 10)]",433.0,-37.8149348,144.9528434,0,8.545,13.1101043
ORDB02112,2018-12-18,19:39:43,Dinner,,"[('Salmon', 10), ('Fish&Chips', 10), ('Pasta', 8)]",980.0,-37.8089712,144.9492046,0,,13.2689721
ORDJ04614,2018-10-29,17:58:18,Dinner,TP,"[('Pasta', 10), ('Fish&Chips', 10), ('Salmon', 3), ('Shrimp', 8)]",1180.0,-37.8206287,144.9707674,0,7.801,12.3588489
ORDY03131,2018-11-27,18:59:09,Dinner,TP,"[('Fish&Chips', 7), ('Salmon', 2)]",327.0,-37.8186074,145.0053569,0,11.105,14.9445077
ORDZ08558,2018-03-26,10:42:15,Breakfast,,"[('Cereal', 4), ('Coffee', 4), ('Eggs', 7), ('Pancake', 10)]",510.5,-37.8013822,144.9743946,0,6.48,11.5482069
ORDY05120,2018-08-29,15:56:37,Lunch,,"[('Salad', 4), ('Chicken', 3), ('Steak', 6)]",434.8,-37.8187013,144.9782069,0,8.646,12.3741947
ORDY05871,2018-12-17,19:39:43,Dinner,TP,"[('Shrimp', 5), ('Pasta', 6)]",435.0,-37.8208173,144.9616649,0,7.371,11.8700078
ORDY00346,2018-02-09,09:10:59,Breakfast,,"[('Coffee', 9), ('Cereal', 7)]",214.5,-37.7992809,144.9592806,0,9.916,11.9908875
ORDC03758,2018-11-16,18:38:52,Dinner,NS,"[('Pasta', 7), ('Shrimp', 7), ('Fish&Chips', 9), ('Salmon', 7)]",1172.5,-37.8186716,144.9612817,0,8.855,14.915198
