order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDX10135,2018-10-04,17:07:36,Dinner,BK,"[('Pasta', 4), ('Salmon', 7), ('Shrimp', 6), ('Fish&Chips', 9)]",1036.0,-37.8087757,144.9420776,0,9.792,17.0710194
ORDC06751,2018-09-15,16:27:02,Dinner,NS,"[('Salmon', 2), ('Pasta', 3)]",164.5,-37.807413,144.9429085,0,9.261,17.4521161
ORDZ09667,2018-11-18,18:38:52,Dinner,NS,"[('Salmon', 4), ('Pasta', 9), ('Fish&Chips', 6), ('Shrimp', 4)]",837.5,-37.7989335,144.9661909,0,6.664,15.3434394
ORDB02710,2018-02-24,09:41:24,Breakfast,TP,"[('Eggs', 9), ('Cereal', 5), ('Pancake', 3)]",375.75,-37.8162951,144.960581,0,8.19,12.4267642
ORDZ04791,2018-04-03,11:02:32,Breakfast,NS,"[('Eggs', 8), ('Coffee', 2), ('Cereal', 4)]",275.0,-37.8132087,144.9903708,0,8.999,14.0432341
ORDA02898,2018-06-01,12:54:05,Lunch,BK,"[('Steak', 1), ('Burger', 8), ('Fries', 4), ('Salad', 4), ('Chicken', 9)]",697.8,-37.8028948,144.9486112,0,8.83,14.9627084
ORDK02087,2018-01-22,08:40:33,Breakfast,BK,"[('Coffee', 9), ('Eggs', 2)]",111.5,-37.8102304,144.9305611,0,11.396,16.3731548
ORDZ08282,2018-08-30,15:56:37,Lunch,NS,"[('Chicken', 5), ('Salad', 3), ('Fries', 1), ('Burger', 2), ('Steak', 1)]",330.6,-37.8108227,144.9320779,0,10.786,16.6480728
ORDJ06122,2018-08-17,15:36:20,Lunch,TP,"[('Fries', 8), ('Steak', 4), ('Salad', 5), ('Chicken', 1)]",394.0,-37.8126414,144.9485032,0,10.317,13.672142
ORDI09930,2018-11-01,17:58:18,Dinner,NS,"[('Pasta', 8), ('Fish&Chips', 5)]",395.0,-37.8124274,144.946739,0,10.066,15.9827411
ORDI05090,2018-12-08,19:19:26,Dinner,NS,"[('Salmon', 5), ('Fish&Chips', 4), ('Pasta', 3), ('Shrimp', 2)]",535.5,-37.8067729,144.9628411,0,7.354,15.2614849
ORDK07232,2018-12-17,19:39:43,Dinner,BK,"[('Shrimp', 10), ('Salmon', 10)]",950.0,-37.808112,144.9509394,0,8.724,16.4721496
ORDB08298,2018-01-13,08:20:16,Breakfast,TP,"[('Cereal', 1), ('Eggs', 8), ('Coffee', 9)]",264.5,-37.8075724,144.9580572,1,9.061,6.822353
ORDK03012,2018-05-21,12:33:48,Lunch,BK,"[('Burger', 7), ('Fries', 1), ('Salad', 3), ('Steak', 1)]",325.6,-37.8209327,144.9548162,0,8.621,14.4463587
ORDJ10972,2018-04-16,11:22:49,Breakfast,TP,"[('Coffee', 6), ('Cereal', 10), ('Eggs', 3), ('Pancake', 9)]",539.25,-37.8107102,144.9672351,0,8.674,11.2237665
ORDA06323,2018-09-19,16:37:10,Dinner,BK,"[('Salmon', 10), ('Pasta', 10), ('Shrimp', 2)]",793.0,-37.8071215,144.957849,0,8.173,15.4857068
ORDK08759,2018-09-01,16:06:45,Dinner,BK,"[('Salmon', 9), ('Shrimp', 2), ('Fish&Chips', 10)]",827.0,-37.8168593,144.9542301,0,8.573,9.27144695
ORDI07285,2018-09-29,16:57:27,Dinner,NS,"[('Fish&Chips', 4), ('Shrimp', 7), ('Pasta', 2)]",573.0,-37.8083929,144.955658,0,8.102,16.0811443
ORDI02520,2018-05-04,12:03:22,Lunch,NS,"[('Chicken', 9), ('Steak', 4)]",468.0,-37.8077698,144.9487192,0,8.725,14.0551062
