order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDJ04687,2018-04-13,11:22:49,Breakfast,TP,"[('Coffee', 6), ('Pancake', 6), ('Cereal', 5), ('Eggs', 5)]",405.5,37.8021485,144.9442805,0,10.427,12.9881011
ORDA07730,2018-05-08,12:13:31,Lunch,BK,"[('Chicken', 2), ('Steak', 7), ('Burger', 8), ('Fries', 7)]",711.0,-37.8042104,144.9717005,0,10.208,13.1320785
ORDJ07326,2018-01-04,08:00:00,Breakfast,TP,"[('Cereal', 8), ('Pancake', 4), ('Eggs', 6), ('Coffee', 5)]",557.0,-37.8041145,144.9384725,1,10.667,6.5601706
ORDC05176,2018-06-22,13:34:38,Lunch,NS,"[('Burger', 5), ('Chicken', 9), ('Steak', 4)]",623.0,-37.8043288,145.0007417,0,6.89,14.4436731
ORDI07268,2018-07-20,14:35:29,Lunch,NS,"[('Pasta', 10), ('Fries', 5)]",380.0,-37.8202705,144.9896737,0,9.376,14.4937668
ORDK00493,2018-11-12,18:28:43,Dinner,BK,"[('Salmon', 4), ('Pasta', 2), ('Shrimp', 6), ('Fish&Chips', 2)]",613.0,-37.8024849,144.9754115,0,9.351,14.6285571
ORDJ09491,2018-05-15,12:23:39,Lunch,TP,"[('Fries', 8), ('Salad', 9)]",250.8,-37.8163432,144.9639912,0,7.771,11.24116
ORDJ06921,2018-12-12,19:29:34,Dinner,TP,"[('Shrimp', 7), ('Fish&Chips', 5), ('Pasta', 2)]",608.0,37.8141043,144.9641582,0,8.051,12.4363769
ORDC01112,2018-01-12,08:20:16,Breakfast,NS,"[('Eggs', 8), ('Pancake', 8), ('Shrimp', 8)]",430.0,-37.8208969,144.9473712,1,9.823,7.4382007
ORDJ03639,2018-03-22,10:32:06,Breakfast,TP,"[('Pancake', 10), ('Cereal', 6)]",368.5,-37.8192916,144.9788269,1,8.658,11.2866273
ORDA09795,2018-03-01,09:51:32,Breakfast,BK,"[('Pancake', 9), ('Cereal', 6)]",344.25,-37.8052831,144.955317,0,8.185,13.6320806
ORDI06938,2018-11-09,18:18:35,Breakfast,NS,"[('Shrimp', 8), ('Salmon', 2)]",514.0,-37.817242,144.9523885,0,9.044,15.2970402
ORDX00087,2018-01-15,08:20:16,Breakfast,BK,"[('Eggs', 6), ('Coffee', 8), ('Pancake', 9)]",410.25,-37.8134235,144.9381332,1,8.315,7.3175494
ORDY07796,2018-05-10,12:13:31,Lunch,TP,"[('Fries', 10), ('Burger', 3), ('Chicken', 5), ('Steak', 10)]",823.0,37.8252106,144.9423044,0,9.361,12.5859618
ORDC10565,2018-05-26,12:43:56,Dinner,NS,"[('Chicken', 10), ('Steak', 4)]",500.0,-37.8236258,144.9808734,0,9.114,16.9603668
